PO_Number,Supplier,Category,Spend,Order_Date
PO481,Supplier 29,Logistics,2380.57,2025-04-25
PO482,Supplier 3,Logistics,602.59,2025-04-26
PO483,Supplier 12,IT Equipment,16925.64,2025-04-27
PO484,Supplier 26,Packaging,16224.58,2025-04-28
PO485,Supplier 16,Chemicals,10564.33,2025-04-29
PO486,Supplier 37,Chemicals,12496.28,2025-04-30
PO487,Supplier 22,Chemicals,10678.35,2025-05-01
PO488,Supplier 29,Maintenance,1088.12,2025-05-02
PO489,Supplier 14,Chemicals,8716.6,2025-05-03
PO490,Supplier 28,Logistics,4838.52,2025-05-04
PO491,Supplier 5,Maintenance,2911.39,2025-05-05
PO492,Supplier 47,Raw Materials,23939.65,2025-05-06
PO493,Supplier 49,Chemicals,15184.31,2025-05-07
PO494,Supplier 30,Chemicals,18352.08,2025-05-08
PO495,Supplier 46,Raw Materials,8226.41,2025-05-09
PO496,Supplier 5,Chemicals,10132.1,2025-05-10
PO497,Supplier 12,Raw Materials,6304.64,2025-05-11
PO498,Supplier 16,Maintenance,2875.66,2025-05-12
PO499,Supplier 26,Logistics,4886.28,2025-05-13
PO500,Supplier 26,Raw Materials,20039.09,2025-05-14
PO501,Supplier 48,Packaging,17099.87,2025-05-15
PO502,Supplier 21,Raw Materials,13899.76,2025-05-16
PO503,Supplier 39,Chemicals,12139.7,2025-05-17
PO504,Supplier 36,Maintenance,23099.64,2025-05-18
PO505,Supplier 33,IT Equipment,2282.01,2025-05-19
PO506,Supplier 30,Maintenance,7374.72,2025-05-20
PO507,Supplier 37,IT Equipment,9073.48,2025-05-21
PO508,Supplier 23,Raw Materials,19669.43,2025-05-22
PO509,Supplier 10,Logistics,24816.61,2025-05-23
PO510,Supplier 5,Packaging,6396.43,2025-05-24
PO511,Supplier 36,Maintenance,21920.53,2025-05-25
PO512,Supplier 34,Chemicals,20850.26,2025-05-26
PO513,Supplier 31,IT Equipment,6004.11,2025-05-27
PO514,Supplier 10,Chemicals,10283.65,2025-05-28
PO515,Supplier 19,Logistics,10536.99,2025-05-29
PO516,Supplier 32,IT Equipment,24466.41,2025-05-30
PO517,Supplier 1,Maintenance,4931.85,2025-05-31
PO518,Supplier 5,Raw Materials,20079.37,2025-06-01
PO519,Supplier 45,Chemicals,8687.72,2025-06-02
PO520,Supplier 4,Logistics,18406.32,2025-06-03
PO521,Supplier 16,Maintenance,10790.27,2025-06-04
PO522,Supplier 24,Maintenance,14669.81,2025-06-05
PO523,Supplier 16,Maintenance,20898.99,2025-06-06
PO524,Supplier 2,Maintenance,20202.06,2025-06-07
PO525,Supplier 49,IT Equipment,21727.37,2025-06-08
PO526,Supplier 28,Maintenance,1960.62,2025-06-09
PO527,Supplier 32,Chemicals,17455.24,2025-06-10
PO528,Supplier 27,Logistics,3929.69,2025-06-11
PO529,Supplier 20,IT Equipment,10687.55,2025-06-12
PO530,Supplier 24,Maintenance,13940.42,2025-06-13
PO531,Supplier 12,Packaging,10367.12,2025-06-14
PO532,Supplier 50,Packaging,13230.49,2025-06-15
PO533,Supplier 35,Logistics,24914.89,2025-06-16
PO534,Supplier 33,Raw Materials,3812.82,2025-06-17
PO535,Supplier 33,Raw Materials,17048.67,2025-06-18
PO536,Supplier 43,IT Equipment,10202.02,2025-06-19
PO537,Supplier 37,IT Equipment,3758.74,2025-06-20
PO538,Supplier 12,IT Equipment,4389.05,2025-06-21
PO539,Supplier 3,Raw Materials,23757.19,2025-06-22
PO540,Supplier 1,Packaging,22050.24,2025-06-23
PO541,Supplier 33,Raw Materials,22722.53,2025-06-24
PO542,Supplier 40,Chemicals,24792.55,2025-06-25
PO543,Supplier 10,Maintenance,5603.73,2025-06-26
PO544,Supplier 43,IT Equipment,9208.26,2025-06-27
PO545,Supplier 44,Packaging,16895.87,2025-06-28
PO546,Supplier 29,Logistics,12353.16,2025-06-29
PO547,Supplier 13,Logistics,10750.54,2025-06-30
PO548,Supplier 12,Maintenance,9266.38,2025-07-01
PO549,Supplier 31,Packaging,15047.63,2025-07-02
PO550,Supplier 46,Raw Materials,14602.04,2025-07-03
PO551,Supplier 2,Raw Materials,4455.72,2025-07-04
PO552,Supplier 50,Chemicals,12057.63,2025-07-05
PO553,Supplier 35,Chemicals,14060.06,2025-07-06
PO554,Supplier 23,Raw Materials,14472.03,2025-07-07
PO555,Supplier 17,Logistics,5647.63,2025-07-08
PO556,Supplier 26,IT Equipment,18685.65,2025-07-09
PO557,Supplier 8,Logistics,1117.38,2025-07-10
PO558,Supplier 29,Chemicals,9193.38,2025-07-11
PO559,Supplier 26,Maintenance,19615.21,2025-07-12
PO560,Supplier 10,Raw Materials,14315.38,2025-07-13
PO561,Supplier 26,Chemicals,6898.48,2025-07-14
PO562,Supplier 34,Chemicals,17526.35,2025-07-15
PO563,Supplier 41,IT Equipment,14401.08,2025-07-16
PO564,Supplier 7,Raw Materials,20007.97,2025-07-17
PO565,Supplier 4,IT Equipment,18508.12,2025-07-18
PO566,Supplier 50,Raw Materials,15447.64,2025-07-19
PO567,Supplier 45,IT Equipment,12460.35,2025-07-20
PO568,Supplier 11,Logistics,3762.96,2025-07-21
PO569,Supplier 29,Maintenance,6902.66,2025-07-22
PO570,Supplier 36,Maintenance,10767.94,2025-07-23
PO571,Supplier 25,Raw Materials,15182.83,2025-07-24
PO572,Supplier 21,Packaging,13085.84,2025-07-25
PO573,Supplier 36,Chemicals,7560.52,2025-07-26
PO574,Supplier 10,Chemicals,658.38,2025-07-27
PO575,Supplier 37,Raw Materials,12657.86,2025-07-28
PO576,Supplier 9,IT Equipment,7497.84,2025-07-29
PO577,Supplier 24,Packaging,18497.9,2025-07-30
PO578,Supplier 35,Logistics,1086.68,2025-07-31
PO579,Supplier 49,IT Equipment,14828.28,2025-08-01
PO580,Supplier 35,IT Equipment,23566.12,2025-08-02
PO581,Supplier 48,Raw Materials,4773.03,2025-08-03
PO582,Supplier 36,Raw Materials,12055.41,2025-08-04
PO583,Supplier 18,Chemicals,2739.84,2025-08-05
PO584,Supplier 49,Raw Materials,15829.21,2025-08-06
PO585,Supplier 39,Raw Materials,13988.03,2025-08-07
PO586,Supplier 32,Raw Materials,10480.46,2025-08-08
PO587,Supplier 24,Chemicals,13273.74,2025-08-09
PO588,Supplier 23,Logistics,22466.08,2025-08-10
PO589,Supplier 32,Logistics,5309.21,2025-08-11
PO590,Supplier 37,Raw Materials,1052.83,2025-08-12
PO591,Supplier 12,Chemicals,21610.79,2025-08-13
PO592,Supplier 49,Logistics,14639.37,2025-08-14
PO593,Supplier 13,IT Equipment,22321.13,2025-08-15
PO594,Supplier 23,Logistics,15125.16,2025-08-16
PO595,Supplier 25,Logistics,20348.95,2025-08-17
PO596,Supplier 35,Chemicals,11027.0,2025-08-18
PO597,Supplier 41,IT Equipment,18871.57,2025-08-19
PO598,Supplier 30,Chemicals,22869.52,2025-08-20
PO599,Supplier 17,Raw Materials,14517.01,2025-08-21
PO600,Supplier 49,Maintenance,4929.24,2025-08-22
PO601,Supplier 20,Logistics,7085.54,2025-08-23
PO602,Supplier 48,Maintenance,5366.79,2025-08-24
PO603,Supplier 25,Chemicals,6548.0,2025-08-25
PO604,Supplier 22,Chemicals,8007.18,2025-08-26
PO605,Supplier 13,Chemicals,14100.78,2025-08-27
PO606,Supplier 19,Maintenance,14905.79,2025-08-28
PO607,Supplier 49,Chemicals,10949.24,2025-08-29
PO608,Supplier 36,Raw Materials,15577.81,2025-08-30
PO609,Supplier 12,Chemicals,2498.59,2025-08-31
PO610,Supplier 41,Packaging,2650.81,2025-09-01
PO611,Supplier 19,Maintenance,4709.82,2025-09-02
PO612,Supplier 12,Packaging,13192.9,2025-09-03
PO613,Supplier 9,Chemicals,5742.87,2025-09-04
PO614,Supplier 7,Raw Materials,7440.47,2025-09-05
PO615,Supplier 28,Logistics,10307.66,2025-09-06
PO616,Supplier 14,IT Equipment,20390.72,2025-09-07
PO617,Supplier 31,IT Equipment,839.62,2025-09-08
PO618,Supplier 19,Chemicals,16409.78,2025-09-09
PO619,Supplier 47,Raw Materials,16887.48,2025-09-10
PO620,Supplier 16,Maintenance,20067.07,2025-09-11
PO621,Supplier 5,Packaging,23352.45,2025-09-12
PO622,Supplier 35,Packaging,993.38,2025-09-13
PO623,Supplier 12,Packaging,4267.7,2025-09-14
PO624,Supplier 25,Maintenance,22211.2,2025-09-15
PO625,Supplier 21,IT Equipment,11733.7,2025-09-16
PO626,Supplier 36,Raw Materials,14332.47,2025-09-17
PO627,Supplier 23,Maintenance,16744.17,2025-09-18
PO628,Supplier 16,Packaging,17137.13,2025-09-19
PO629,Supplier 39,Chemicals,23327.64,2025-09-20
PO630,Supplier 45,Logistics,24925.26,2025-09-21
PO631,Supplier 42,Maintenance,18143.86,2025-09-22
PO632,Supplier 39,Maintenance,7536.92,2025-09-23
PO633,Supplier 14,Raw Materials,22053.93,2025-09-24
PO634,Supplier 31,Raw Materials,1705.91,2025-09-25
PO635,Supplier 5,Maintenance,6161.48,2025-09-26
PO636,Supplier 35,Packaging,22485.95,2025-09-27
PO637,Supplier 23,Logistics,6776.69,2025-09-28
PO638,Supplier 29,Raw Materials,5905.95,2025-09-29
PO639,Supplier 43,Packaging,3884.07,2025-09-30
PO640,Supplier 11,Chemicals,21548.24,2025-10-01
PO641,Supplier 18,Raw Materials,12751.43,2025-10-02
PO642,Supplier 47,Packaging,17034.88,2025-10-03
PO643,Supplier 12,Packaging,6357.13,2025-10-04
PO644,Supplier 9,Logistics,19071.99,2025-10-05
PO645,Supplier 10,Logistics,19120.14,2025-10-06
PO646,Supplier 44,Chemicals,8158.65,2025-10-07
PO647,Supplier 17,Packaging,10561.72,2025-10-08
PO648,Supplier 38,IT Equipment,5637.41,2025-10-09
PO649,Supplier 7,Packaging,24425.75,2025-10-10
PO650,Supplier 46,Logistics,16317.26,2025-10-11
PO651,Supplier 13,IT Equipment,23396.33,2025-10-12
PO652,Supplier 40,Raw Materials,7932.95,2025-10-13
PO653,Supplier 42,Raw Materials,19656.33,2025-10-14
PO654,Supplier 9,Maintenance,19263.54,2025-10-15
PO655,Supplier 50,Logistics,17445.56,2025-10-16
PO656,Supplier 27,Maintenance,24158.15,2025-10-17
PO657,Supplier 2,IT Equipment,10142.11,2025-10-18
PO658,Supplier 5,Logistics,3702.57,2025-10-19
PO659,Supplier 29,Chemicals,16956.87,2025-10-20
PO660,Supplier 37,Packaging,18368.09,2025-10-21
PO661,Supplier 38,Chemicals,14588.98,2025-10-22
PO662,Supplier 19,IT Equipment,5567.04,2025-10-23
PO663,Supplier 8,Logistics,12859.17,2025-10-24
PO664,Supplier 48,IT Equipment,8148.65,2025-10-25
PO665,Supplier 45,Packaging,10972.93,2025-10-26
PO666,Supplier 1,Raw Materials,16307.86,2025-10-27
PO667,Supplier 22,Raw Materials,18757.76,2025-10-28
PO668,Supplier 17,IT Equipment,6189.5,2025-10-29
PO669,Supplier 7,Maintenance,10430.47,2025-10-30
PO670,Supplier 25,Logistics,7094.46,2025-10-31
PO671,Supplier 45,Logistics,5366.47,2025-11-01
PO672,Supplier 4,Raw Materials,19692.99,2025-11-02
PO673,Supplier 36,Chemicals,22776.69,2025-11-03
PO674,Supplier 6,Packaging,9570.69,2025-11-04
PO675,Supplier 31,Chemicals,18906.33,2025-11-05
PO676,Supplier 19,Chemicals,22476.38,2025-11-06
PO677,Supplier 44,IT Equipment,21230.04,2025-11-07
PO678,Supplier 39,Raw Materials,4978.93,2025-11-08
PO679,Supplier 27,Raw Materials,23929.15,2025-11-09
PO680,Supplier 10,Raw Materials,9728.57,2025-11-10
PO681,Supplier 26,IT Equipment,8811.4,2025-11-11
PO682,Supplier 19,Maintenance,2029.57,2025-11-12
PO683,Supplier 39,Chemicals,12411.25,2025-11-13
PO684,Supplier 3,IT Equipment,3170.83,2025-11-14
PO685,Supplier 45,Logistics,6589.23,2025-11-15
PO686,Supplier 13,Packaging,8265.09,2025-11-16
PO687,Supplier 50,Maintenance,20316.24,2025-11-17
PO688,Supplier 28,Logistics,21949.47,2025-11-18
PO689,Supplier 20,Chemicals,7910.42,2025-11-19
PO690,Supplier 28,Raw Materials,21538.1,2025-11-20
PO691,Supplier 8,Chemicals,21502.16,2025-11-21
PO692,Supplier 41,IT Equipment,19233.95,2025-11-22
PO693,Supplier 39,Packaging,4094.03,2025-11-23
PO694,Supplier 1,IT Equipment,17412.91,2025-11-24
PO695,Supplier 3,Maintenance,23653.09,2025-11-25
PO696,Supplier 13,Maintenance,17222.24,2025-11-26
PO697,Supplier 28,Packaging,8624.61,2025-11-27
PO698,Supplier 49,Logistics,12764.19,2025-11-28
PO699,Supplier 25,Logistics,16320.26,2025-11-29
PO700,Supplier 33,Maintenance,13008.98,2025-11-30
PO701,Supplier 38,Maintenance,3438.85,2025-12-01
PO702,Supplier 6,Raw Materials,8145.57,2025-12-02
PO703,Supplier 44,Logistics,20158.7,2025-12-03
PO704,Supplier 45,Packaging,21604.74,2025-12-04
PO705,Supplier 32,Logistics,3863.85,2025-12-05
PO706,Supplier 45,Raw Materials,23833.48,2025-12-06
PO707,Supplier 47,IT Equipment,8556.15,2025-12-07
PO708,Supplier 21,Maintenance,16726.69,2025-12-08
PO709,Supplier 16,Maintenance,18919.72,2025-12-09
PO710,Supplier 21,Raw Materials,20392.68,2025-12-10
PO711,Supplier 11,Packaging,23670.87,2025-12-11
PO712,Supplier 37,Maintenance,8166.53,2025-12-12
PO713,Supplier 36,Chemicals,21533.41,2025-12-13
PO714,Supplier 35,Maintenance,3726.33,2025-12-14
PO715,Supplier 19,Chemicals,17773.5,2025-12-15
PO716,Supplier 20,Raw Materials,18678.45,2025-12-16
PO717,Supplier 18,Raw Materials,17104.22,2025-12-17
PO718,Supplier 47,Maintenance,6681.71,2025-12-18
PO719,Supplier 41,Logistics,21889.56,2025-12-19
PO720,Supplier 49,Chemicals,4637.03,2025-12-20
PO721,Supplier 14,Packaging,1814.05,2025-12-21
PO722,Supplier 15,Maintenance,18077.89,2025-12-22
PO723,Supplier 31,Packaging,12149.16,2025-12-23
PO724,Supplier 1,Maintenance,21302.9,2025-12-24
PO725,Supplier 3,Logistics,9893.23,2025-12-25
PO726,Supplier 16,Logistics,4622.83,2025-12-26
PO727,Supplier 23,Logistics,20992.83,2025-12-27
PO728,Supplier 11,IT Equipment,13948.29,2025-12-28
PO729,Supplier 12,Logistics,5135.3,2025-12-29
PO730,Supplier 10,Raw Materials,18149.41,2025-12-30
PO731,Supplier 32,Raw Materials,13022.28,2025-12-31
PO732,Supplier 16,IT Equipment,15305.67,2026-01-01
PO733,Supplier 8,Chemicals,11792.01,2026-01-02
PO734,Supplier 38,Packaging,20803.37,2026-01-03
PO735,Supplier 12,Maintenance,20824.29,2026-01-04
PO736,Supplier 24,Maintenance,17880.03,2026-01-05
PO737,Supplier 28,IT Equipment,3082.33,2026-01-06
PO738,Supplier 8,Raw Materials,21051.92,2026-01-07
PO739,Supplier 28,Maintenance,16939.82,2026-01-08
PO740,Supplier 36,Raw Materials,17577.09,2026-01-09
PO741,Supplier 26,Chemicals,9393.08,2026-01-10
PO742,Supplier 8,Packaging,22042.35,2026-01-11
PO743,Supplier 50,Chemicals,18271.6,2026-01-12
PO744,Supplier 28,IT Equipment,3258.47,2026-01-13
PO745,Supplier 28,Logistics,10490.56,2026-01-14
PO746,Supplier 37,Logistics,22216.32,2026-01-15
PO747,Supplier 41,Logistics,1656.32,2026-01-16
PO748,Supplier 36,Chemicals,24054.71,2026-01-17
PO749,Supplier 27,Maintenance,17139.48,2026-01-18
PO750,Supplier 17,Packaging,15968.71,2026-01-19
PO751,Supplier 9,Logistics,7128.7,2026-01-20
PO752,Supplier 33,IT Equipment,6595.4,2026-01-21
PO753,Supplier 20,IT Equipment,23580.43,2026-01-22
PO754,Supplier 13,Logistics,7807.68,2026-01-23
PO755,Supplier 28,Logistics,19499.88,2026-01-24
PO756,Supplier 48,Packaging,10131.48,2026-01-25
PO757,Supplier 29,Logistics,3911.72,2026-01-26
PO758,Supplier 13,Packaging,762.52,2026-01-27
PO759,Supplier 46,IT Equipment,13834.3,2026-01-28
PO760,Supplier 35,Logistics,24406.58,2026-01-29
PO761,Supplier 6,Chemicals,9543.84,2026-01-30
PO762,Supplier 18,Chemicals,9251.21,2026-01-31
PO763,Supplier 5,IT Equipment,8930.24,2026-02-01
PO764,Supplier 47,Packaging,13253.32,2026-02-02
PO765,Supplier 25,Chemicals,11296.29,2026-02-03
PO766,Supplier 2,Packaging,22057.91,2026-02-04
PO767,Supplier 10,Chemicals,12885.26,2026-02-05
PO768,Supplier 30,Chemicals,12940.07,2026-02-06
PO769,Supplier 50,Packaging,3890.1,2026-02-07
PO770,Supplier 45,Maintenance,24577.12,2026-02-08
PO771,Supplier 5,Chemicals,6624.34,2026-02-09
PO772,Supplier 33,Logistics,2297.42,2026-02-10
PO773,Supplier 1,IT Equipment,16747.08,2026-02-11
PO774,Supplier 18,Maintenance,15086.48,2026-02-12
PO775,Supplier 32,Packaging,10671.07,2026-02-13
PO776,Supplier 47,Maintenance,10843.71,2026-02-14
PO777,Supplier 49,Raw Materials,19734.07,2026-02-15
PO778,Supplier 11,Raw Materials,5294.96,2026-02-16
PO779,Supplier 21,Chemicals,20596.21,2026-02-17
PO780,Supplier 26,Chemicals,16394.3,2026-02-18
PO781,Supplier 25,Logistics,10764.76,2026-02-19
PO782,Supplier 22,IT Equipment,11721.7,2026-02-20
PO783,Supplier 27,Maintenance,6787.86,2026-02-21
PO784,Supplier 49,Raw Materials,18926.8,2026-02-22
PO785,Supplier 13,Chemicals,13065.43,2026-02-23
PO786,Supplier 33,IT Equipment,8360.94,2026-02-24
PO787,Supplier 34,Maintenance,15103.23,2026-02-25
PO788,Supplier 41,Chemicals,24895.49,2026-02-26
PO789,Supplier 35,Chemicals,11163.93,2026-02-27
PO790,Supplier 1,Raw Materials,23056.94,2026-02-28
PO791,Supplier 21,Raw Materials,8952.91,2026-03-01
PO792,Supplier 48,Chemicals,1840.95,2026-03-02
PO793,Supplier 6,Packaging,5503.93,2026-03-03
PO794,Supplier 28,Chemicals,10758.03,2026-03-04
PO795,Supplier 17,IT Equipment,5881.06,2026-03-05
PO796,Supplier 5,Chemicals,505.56,2026-03-06
PO797,Supplier 31,Logistics,22917.54,2026-03-07
PO798,Supplier 5,Logistics,21175.05,2026-03-08
PO799,Supplier 38,Logistics,18686.16,2026-03-09
PO800,Supplier 3,Packaging,4611.46,2026-03-10
PO801,Supplier 23,Packaging,3448.91,2026-03-11
PO802,Supplier 37,Chemicals,2156.32,2026-03-12
PO803,Supplier 37,Logistics,18238.72,2026-03-13
PO804,Supplier 10,Packaging,23255.8,2026-03-14
PO805,Supplier 10,Raw Materials,11048.13,2026-03-15
PO806,Supplier 19,Chemicals,3418.95,2026-03-16
PO807,Supplier 17,IT Equipment,13053.62,2026-03-17
PO808,Supplier 21,Maintenance,9046.38,2026-03-18
PO809,Supplier 14,Chemicals,9683.21,2026-03-19
PO810,Supplier 9,Maintenance,15722.6,2026-03-20
PO811,Supplier 46,Logistics,18108.59,2026-03-21
PO812,Supplier 1,Maintenance,3209.79,2026-03-22
PO813,Supplier 45,Logistics,1371.96,2026-03-23
PO814,Supplier 13,Raw Materials,24861.09,2026-03-24
PO815,Supplier 4,Maintenance,6201.84,2026-03-25
PO816,Supplier 1,Chemicals,1818.85,2026-03-26
PO817,Supplier 49,Logistics,5151.95,2026-03-27
PO818,Supplier 40,Chemicals,1454.47,2026-03-28
PO819,Supplier 32,Packaging,10099.37,2026-03-29
PO820,Supplier 34,Logistics,20158.84,2026-03-30
PO821,Supplier 28,Maintenance,8860.49,2026-03-31
PO822,Supplier 31,Logistics,11382.49,2026-04-01
PO823,Supplier 8,Chemicals,17051.88,2026-04-02
PO824,Supplier 39,Raw Materials,12967.9,2026-04-03
PO825,Supplier 26,Logistics,21605.42,2026-04-04
PO826,Supplier 34,Maintenance,21717.87,2026-04-05
PO827,Supplier 3,Packaging,742.81,2026-04-06
PO828,Supplier 50,IT Equipment,19562.13,2026-04-07
PO829,Supplier 12,Raw Materials,11787.97,2026-04-08
PO830,Supplier 1,Packaging,24726.59,2026-04-09
PO831,Supplier 44,Logistics,12339.19,2026-04-10
PO832,Supplier 5,Chemicals,24678.95,2026-04-11
PO833,Supplier 30,Chemicals,18986.95,2026-04-12
PO834,Supplier 30,Maintenance,6590.82,2026-04-13
PO835,Supplier 17,Chemicals,13690.68,2026-04-14
PO836,Supplier 48,Raw Materials,24807.32,2026-04-15
PO837,Supplier 47,Chemicals,21509.5,2026-04-16
PO838,Supplier 23,Maintenance,2885.49,2026-04-17
PO839,Supplier 15,IT Equipment,17806.11,2026-04-18
PO840,Supplier 37,Logistics,8966.7,2026-04-19
PO841,Supplier 21,Logistics,671.07,2026-04-20
PO842,Supplier 14,Chemicals,10385.28,2026-04-21
PO843,Supplier 2,Packaging,6251.48,2026-04-22
PO844,Supplier 11,Logistics,20562.3,2026-04-23
PO845,Supplier 39,IT Equipment,8764.6,2026-04-24
PO846,Supplier 38,Chemicals,20774.33,2026-04-25
PO847,Supplier 34,Maintenance,514.65,2026-04-26
PO848,Supplier 38,IT Equipment,8041.57,2026-04-27
PO849,Supplier 50,Chemicals,6408.55,2026-04-28
PO850,Supplier 34,IT Equipment,6222.4,2026-04-29
PO851,Supplier 18,Logistics,2170.57,2026-04-30
PO852,Supplier 30,Maintenance,5084.54,2026-05-01
PO853,Supplier 15,Chemicals,14110.96,2026-05-02
PO854,Supplier 27,Raw Materials,7638.35,2026-05-03
PO855,Supplier 34,Maintenance,10726.17,2026-05-04
PO856,Supplier 38,Raw Materials,9733.24,2026-05-05
PO857,Supplier 33,IT Equipment,21959.67,2026-05-06
PO858,Supplier 24,Packaging,22679.83,2026-05-07
PO859,Supplier 15,Maintenance,12577.45,2026-05-08
PO860,Supplier 30,IT Equipment,8588.82,2026-05-09
PO861,Supplier 42,Raw Materials,3116.62,2026-05-10
PO862,Supplier 17,Logistics,23858.37,2026-05-11
PO863,Supplier 5,Logistics,1975.56,2026-05-12
PO864,Supplier 29,Packaging,7792.43,2026-05-13
PO865,Supplier 4,Maintenance,7802.62,2026-05-14
PO866,Supplier 10,Maintenance,8349.83,2026-05-15
PO867,Supplier 17,Maintenance,4525.03,2026-05-16
PO868,Supplier 10,IT Equipment,19687.46,2026-05-17
PO869,Supplier 17,Packaging,3501.2,2026-05-18
PO870,Supplier 20,Maintenance,16055.21,2026-05-19
PO871,Supplier 24,IT Equipment,3534.23,2026-05-20
PO872,Supplier 5,Logistics,2228.12,2026-05-21
PO873,Supplier 34,Raw Materials,22781.02,2026-05-22
PO874,Supplier 6,IT Equipment,5158.15,2026-05-23
PO875,Supplier 2,Logistics,20620.63,2026-05-24
PO876,Supplier 13,Logistics,13843.46,2026-05-25
PO877,Supplier 43,Raw Materials,2407.48,2026-05-26
PO878,Supplier 43,Logistics,23908.48,2026-05-27
PO879,Supplier 48,Packaging,6550.55,2026-05-28
PO880,Supplier 11,Raw Materials,21561.31,2026-05-29
PO881,Supplier 47,Logistics,4635.85,2026-05-30
PO882,Supplier 23,Chemicals,21421.6,2026-05-31
PO883,Supplier 16,IT Equipment,824.11,2026-06-01
PO884,Supplier 31,Logistics,13038.62,2026-06-02
PO885,Supplier 11,Packaging,19351.34,2026-06-03
PO886,Supplier 16,Maintenance,23402.49,2026-06-04
PO887,Supplier 8,Logistics,22775.45,2026-06-05
PO888,Supplier 4,Maintenance,20580.81,2026-06-06
PO889,Supplier 40,Chemicals,22260.69,2026-06-07
PO890,Supplier 4,Logistics,5380.88,2026-06-08
PO891,Supplier 25,Raw Materials,7462.52,2026-06-09
PO892,Supplier 3,Maintenance,7579.73,2026-06-10
PO893,Supplier 32,Chemicals,9737.82,2026-06-11
PO894,Supplier 3,Raw Materials,10136.36,2026-06-12
PO895,Supplier 27,Raw Materials,13841.61,2026-06-13
PO896,Supplier 29,Raw Materials,4417.05,2026-06-14
PO897,Supplier 32,Raw Materials,17435.54,2026-06-15
PO898,Supplier 50,Logistics,4605.38,2026-06-16
PO899,Supplier 19,IT Equipment,8102.56,2026-06-17
PO900,Supplier 21,Logistics,12831.96,2026-06-18
PO901,Supplier 5,Logistics,20012.79,2026-06-19
PO902,Supplier 18,Chemicals,18617.0,2026-06-20
PO903,Supplier 28,Chemicals,16315.59,2026-06-21
PO904,Supplier 42,IT Equipment,4316.44,2026-06-22
PO905,Supplier 22,Chemicals,13902.61,2026-06-23
PO906,Supplier 21,Packaging,2642.44,2026-06-24
PO907,Supplier 6,IT Equipment,9745.4,2026-06-25
PO908,Supplier 1,Chemicals,10631.15,2026-06-26
PO909,Supplier 5,IT Equipment,1475.38,2026-06-27
PO910,Supplier 41,Logistics,7212.71,2026-06-28
PO911,Supplier 12,Logistics,23913.41,2026-06-29
PO912,Supplier 26,IT Equipment,23864.0,2026-06-30
PO913,Supplier 46,Packaging,9132.01,2026-07-01
PO914,Supplier 34,Packaging,1555.95,2026-07-02
PO915,Supplier 49,IT Equipment,4887.83,2026-07-03
PO916,Supplier 14,Chemicals,10109.34,2026-07-04
PO917,Supplier 26,Maintenance,23720.6,2026-07-05
PO918,Supplier 45,Packaging,3959.38,2026-07-06
PO919,Supplier 27,Raw Materials,19206.14,2026-07-07
PO920,Supplier 9,Logistics,3162.72,2026-07-08
PO921,Supplier 26,IT Equipment,24540.81,2026-07-09
PO922,Supplier 47,Raw Materials,9849.6,2026-07-10
PO923,Supplier 22,IT Equipment,19493.25,2026-07-11
PO924,Supplier 47,Logistics,8893.48,2026-07-12
PO925,Supplier 30,Logistics,15877.89,2026-07-13
PO926,Supplier 43,Packaging,5204.39,2026-07-14
PO927,Supplier 48,Packaging,4077.51,2026-07-15
PO928,Supplier 17,Raw Materials,23482.57,2026-07-16
PO929,Supplier 26,IT Equipment,22982.36,2026-07-17
PO930,Supplier 36,Logistics,22242.99,2026-07-18
PO931,Supplier 1,Raw Materials,15823.12,2026-07-19
PO932,Supplier 8,Maintenance,20302.57,2026-07-20
PO933,Supplier 49,Raw Materials,2191.4,2026-07-21
PO934,Supplier 35,Chemicals,8702.33,2026-07-22
PO935,Supplier 15,Raw Materials,8185.73,2026-07-23
PO936,Supplier 47,Chemicals,16073.31,2026-07-24
PO937,Supplier 22,Chemicals,9220.97,2026-07-25
PO938,Supplier 14,Chemicals,4138.42,2026-07-26
PO939,Supplier 26,Maintenance,15113.44,2026-07-27
PO940,Supplier 28,Raw Materials,20452.41,2026-07-28
PO941,Supplier 23,Raw Materials,9862.03,2026-07-29
PO942,Supplier 14,Maintenance,3740.58,2026-07-30
PO943,Supplier 24,Logistics,5318.86,2026-07-31
PO944,Supplier 2,Packaging,6318.34,2026-08-01
PO945,Supplier 45,Raw Materials,7847.49,2026-08-02
PO946,Supplier 26,Packaging,16248.48,2026-08-03
PO947,Supplier 14,IT Equipment,15223.16,2026-08-04
PO948,Supplier 7,IT Equipment,17553.96,2026-08-05
PO949,Supplier 3,Maintenance,9381.3,2026-08-06
PO950,Supplier 47,IT Equipment,20687.94,2026-08-07
PO951,Supplier 23,IT Equipment,5500.15,2026-08-08
PO952,Supplier 46,Logistics,11991.5,2026-08-09
PO953,Supplier 43,Logistics,20123.0,2026-08-10
PO954,Supplier 47,Logistics,4913.89,2026-08-11
PO955,Supplier 45,IT Equipment,3191.65,2026-08-12
PO956,Supplier 18,Maintenance,22150.26,2026-08-13
PO957,Supplier 38,Chemicals,8901.78,2026-08-14
PO958,Supplier 35,Chemicals,17254.82,2026-08-15
PO959,Supplier 15,Packaging,1121.04,2026-08-16
PO960,Supplier 25,Chemicals,17406.15,2026-08-17
PO961,Supplier 37,Chemicals,8244.48,2026-08-18
PO962,Supplier 28,Logistics,1865.65,2026-08-19
